macAddress,horario,cpuPorcentagem,cpuNucleosFisicos,cpuNucleosLogicos,cpuTempoUser,cpuTempoSistema,cpuTempoInativo,ramUsada,ramTotal,ramLivre,discoUsado,discoTotal,discoLivre,totalProcessos
d8:5e:d3:30:e0:ff,2026-05-16 14:04:29,12.0,6,12,7265.5625,6322.640625,136667.21875,14887022592,25665155072,10778132480,502819323904,999240708096,496421384192,284
d8:5e:d3:30:e0:ff,2026-05-16 14:08:51,6.5,6,12,7386.562499999999,6448.34375,139556.265625,14827114496,25665155072,10838040576,502817656832,999240708096,496423051264,288
d8:5e:d3:30:e0:ff,2026-05-16 14:15:57,9.7,6,12,7643.640624999999,6683.625,144178.90625,14387789824,25665155072,11277365248,502804262912,999240708096,496436445184,282
d8:5e:d3:30:e0:ff,2026-05-16 14:16:10,35.5,6,12,7650.156249999999,6689.28125,144319.546875,14502088704,25665155072,11163066368,502804328448,999240708096,496436379648,282
d8:5e:d3:30:e0:ff,2026-05-16 14:16:21,4.2,6,12,7661.984374999999,6696.09375,144442.84375,14792228864,25665155072,10872926208,502805213184,999240708096,496435494912,281
d8:5e:d3:30:e0:ff,2026-05-16 14:18:48,5.7,6,12,7783.78125,6788.968749999971,145990.859375,14488506368,25665155072,11176648704,502807244800,999240708096,496433463296,281
d8:5e:d3:30:e0:ff,2026-05-16 14:19:01,22.4,6,12,7805.75,6803.734375,146107.3125,15197573120,25665155072,10467581952,502807703552,999240708096,496433004544,281
d8:5e:d3:30:e0:ff,2026-05-16 14:19:13,31.6,6,12,7817.046875,6811.921875,146229.578125,15300624384,25665155072,10364530688,502807744512,999240708096,496432963584,281
d8:5e:d3:30:e0:ff,2026-05-16 14:19:25,37.7,6,12,7835.25,6822.109375,146343.125,15458295808,25665155072,10206859264,502808473600,999240708096,496432234496,281
d8:5e:d3:30:e0:ff,2026-05-16 14:19:37,35.8,6,12,7863.734375,6837.140625,146441.359375,16179884032,25665155072,9485271040,502808571904,999240708096,496432136192,282
d8:5e:d3:30:e0:ff,2026-05-16 14:19:48,5.8,6,12,7875.609375,6846.250000000029,146562.15624999997,16260837376,25665155072,9404317696,503040811008,999240708096,496199897088,281
d8:5e:d3:30:e0:ff,2026-05-16 14:25:41,2.5,6,12,8171.3125,7061.499999999971,150280.609375,15211089920,25665155072,10454065152,503040266240,999240708096,496200441856,281
d8:5e:d3:30:e0:ff,2026-05-16 14:25:54,37.2,6,12,8195.265625,7073.312499999971,150398.21875,15922970624,25665155072,9742184448,503041175552,999240708096,496199532544,281
d8:5e:d3:30:e0:ff,2026-05-16 14:26:05,6.8,6,12,8213.859375,7083.234374999971,150511.765625,15377317888,25665155072,10287837184,503041216512,999240708096,496199491584,282
d8:5e:d3:30:e0:ff,2026-05-16 14:26:17,12.7,6,12,8239.171875,7096.109375,150615.390625,15760334848,25665155072,9904820224,503041196032,999240708096,496199512064,282
d8:5e:d3:30:e0:ff,2026-05-16 14:26:29,17.7,6,12,8252.21875,7104.890625,150736.0625,15838998528,25665155072,9826156544,503040475136,999240708096,496200232960,281
d8:5e:d3:30:e0:ff,2026-05-16 14:26:41,8.8,6,12,8264.46875,7112.15625,150858.859375,15767334912,25665155072,9897820160,503031754752,999240708096,496208953344,281
d8:5e:d3:30:e0:ff,2026-05-16 14:26:53,19.1,6,12,8271.5625,7120.015625,150985.65625,15738642432,25665155072,9926512640,503031767040,999240708096,496208941056,282
d8:5e:d3:30:e0:ff,2026-05-16 14:27:05,14.3,6,12,8283.59375,7127.84375,151107.734375,15965286400,25665155072,9699868672,503031721984,999240708096,496208986112,282
d8:5e:d3:30:e0:ff,2026-05-16 14:27:16,13.7,6,12,8301.3125,7137.40625,151222.203125,15802085376,25665155072,9863069696,503031889920,999240708096,496208818176,282
d8:5e:d3:30:e0:ff,2026-05-16 14:27:28,38.0,6,12,8325.328125,7151.578125,151326.109375,15979704320,25665155072,9685450752,503032868864,999240708096,496207839232,283
d8:5e:d3:30:e0:ff,2026-05-16 14:27:40,15.1,6,12,8338.75,7160.421874999971,151445.8125,15817179136,25665155072,9847975936,503032578048,999240708096,496208130048,283
d8:5e:d3:30:e0:ff,2026-05-16 14:27:52,14.3,6,12,8345.890625,7167.609374999971,151573.609375,15795347456,25665155072,9869807616,503032758272,999240708096,496207949824,283
d8:5e:d3:30:e0:ff,2026-05-16 14:28:04,42.3,6,12,8360.09375,7177.749999999971,151691.015625,16097660928,25665155072,9567494144,503033106432,999240708096,496207601664,282
d8:5e:d3:30:e0:ff,2026-05-16 14:28:17,6.4,6,12,8380.8125,7188.546875,151819.9375,15581003776,25665155072,10084151296,503033294848,999240708096,496207413248,282
d8:5e:d3:30:e0:ff,2026-05-16 14:28:30,13.2,6,12,8390.25,7195.8125,151956.65625,15230795776,25665155072,10434359296,503032983552,999240708096,496207724544,282
d8:5e:d3:30:e0:ff,2026-05-16 14:28:42,28.0,6,12,8412.15625,7206.546875,152066.21875,15527030784,25665155072,10138124288,503033835520,999240708096,496206872576,281
d8:5e:d3:30:e0:ff,2026-05-16 14:28:54,33.8,6,12,8436.15625,7216.796875,152174.40625,15531511808,25665155072,10133643264,503034126336,999240708096,496206581760,280
d8:5e:d3:30:e0:ff,2026-05-16 14:29:06,14.4,6,12,8457.890625,7227.796875,152284.171875,15557951488,25665155072,10107203584,503034515456,999240708096,496206192640,281
d8:5e:d3:30:e0:ff,2026-05-16 14:29:17,8.2,6,12,8466.796875,7234.078125,152410.734375,15386931200,25665155072,10278223872,503035019264,999240708096,496205688832,281
d8:5e:d3:30:e0:ff,2026-05-16 14:29:29,38.7,6,12,8476.828125,7241.640625,152535.07812499997,15250685952,25665155072,10414469120,503034605568,999240708096,496206102528,284
d8:5e:d3:30:e0:ff,2026-05-16 14:29:41,13.0,6,12,8491.171875,7254.25,152650.62499999997,14301310976,25665155072,11363844096,503035117568,999240708096,496205590528,285
d8:5e:d3:30:e0:ff,2026-05-16 14:29:53,17.6,6,12,8505.703125,7265.375,152767.09374999997,14357966848,25665155072,11307188224,503035199488,999240708096,496205508608,283
d8:5e:d3:30:e0:ff,2026-05-16 14:30:05,8.6,6,12,8516.765625,7274.75,152888.59374999997,14399991808,25665155072,11265163264,503031111680,999240708096,496209596416,284
d8:5e:d3:30:e0:ff,2026-05-16 14:30:17,6.3,6,12,8523.640625,7281.234375,153017.15625,14411034624,25665155072,11254120448,503031345152,999240708096,496209362944,284
d8:5e:d3:30:e0:ff,2026-05-16 14:30:28,7.9,6,12,8528.546875,7286.109375,153149.703125,14515073024,25665155072,11150082048,503031537664,999240708096,496209170432,284
d8:5e:d3:30:e0:ff,2026-05-16 14:30:40,3.1,6,12,8532.796875,7289.8125,153283.5,14465896448,25665155072,11199258624,503031664640,999240708096,496209043456,284
d8:5e:d3:30:e0:ff,2026-05-16 14:30:52,7.0,6,12,8539.296875,7294.59375,153414.140625,14362120192,25665155072,11303034880,503031627776,999240708096,496209080320,283
d8:5e:d3:30:e0:ff,2026-05-16 14:31:04,11.8,6,12,8542.5,7297.8125,153549.484375,14388985856,25665155072,11276169216,503031873536,999240708096,496208834560,283
d8:5e:d3:30:e0:ff,2026-05-16 14:31:16,9.4,6,12,8547.0625,7303.203125,153681.28125,14423515136,25665155072,11241639936,503031984128,999240708096,496208723968,283
d8:5e:d3:30:e0:ff,2026-05-16 14:31:28,17.5,6,12,8554.515625,7312.953125000029,153806.20312499997,14431784960,25665155072,11233370112,503031975936,999240708096,496208732160,282
d8:5e:d3:30:e0:ff,2026-05-16 14:31:39,7.5,6,12,8569.5625,7321.296875000029,153924.74999999997,14820560896,25665155072,10844594176,503031996416,999240708096,496208711680,282
d8:5e:d3:30:e0:ff,2026-05-16 14:31:51,20.4,6,12,8576.25,7326.437500000029,154054.85937499997,14691524608,25665155072,10973630464,503032188928,999240708096,496208519168,281
d8:5e:d3:30:e0:ff,2026-05-16 14:32:03,4.9,6,12,8581.359375,7331.984375000029,154186.35937499997,14485585920,25665155072,11179569152,503032520704,999240708096,496208187392,282
d8:5e:d3:30:e0:ff,2026-05-16 14:32:15,5.7,6,12,8587.0,7337.796875,154317.0,14581706752,25665155072,11083448320,503032696832,999240708096,496208011264,282
d8:5e:d3:30:e0:ff,2026-05-16 14:32:27,11.8,6,12,8601.828125,7349.703125,154433.140625,14780096512,25665155072,10885058560,503033036800,999240708096,496207671296,282
d8:5e:d3:30:e0:ff,2026-05-16 14:32:39,7.0,6,12,8613.78125,7356.328125,154557.953125,14471958528,25665155072,11193196544,503033356288,999240708096,496207351808,283
d8:5e:d3:30:e0:ff,2026-05-16 14:32:51,16.2,6,12,8624.625,7364.671875,154681.265625,14372585472,25665155072,11292569600,503033958400,999240708096,496206749696,283
d8:5e:d3:30:e0:ff,2026-05-16 14:33:02,1.4,6,12,8635.734375,7371.140625,154805.671875,14211923968,25665155072,11453231104,503033835520,999240708096,496206872576,281
d8:5e:d3:30:e0:ff,2026-05-16 15:42:19,18.1,6,12,10006.109375,8683.609375,202007.8125,13822431232,25665155072,11842723840,503045992448,999240708096,496194715648,276
d8:5e:d3:30:e0:ff,2026-05-16 15:44:29,2.2,6,12,10081.59375,8753.78124999997,203421.828125,13791297536,25665155072,11873857536,503049711616,999240708096,496190996480,284
d8:5e:d3:30:e0:ff,2026-05-16 15:46:31,3.5,6,12,10143.46875,8812.65624999997,204762.328125,13881966592,25665155072,11783188480,503051325440,999240708096,496189382656,284
d8:5e:d3:30:e0:ff,2026-05-16 15:50:41,6.6,6,12,10424.09375,8974.89062499997,207317.25,16135688192,25665155072,9529466880,503142178816,999240708096,496098529280,283
d8:5e:d3:30:e0:ff,2026-05-16 15:50:53,10.6,6,12,10432.609375,8986.90624999997,207439.59375,16133537792,25665155072,9531617280,503519354880,999240708096,495721353216,283
d8:5e:d3:30:e0:ff,2026-05-16 15:51:05,9.6,6,12,10439.1875,8993.78125000003,207568.23437499997,16172302336,25665155072,9492852736,503519809536,999240708096,495720898560,284
d8:5e:d3:30:e0:ff,2026-05-16 15:51:17,9.8,6,12,10445.125,8999.81250000003,207697.85937499997,16166416384,25665155072,9498738688,503519875072,999240708096,495720833024,284
d8:5e:d3:30:e0:ff,2026-05-16 15:51:28,6.0,6,12,10451.34375,9005.32812500003,207828.01562499997,16164839424,25665155072,9500315648,503520333824,999240708096,495720374272,284
d8:5e:d3:30:e0:ff,2026-05-16 15:51:40,6.1,6,12,10456.25,9008.796875,207962.1875,16154181632,25665155072,9510973440,503520477184,999240708096,495720230912,284
d8:5e:d3:30:e0:ff,2026-05-16 15:51:52,16.0,6,12,10469.828125,9018.53125,208080.8125,16370925568,25665155072,9294229504,503520690176,999240708096,495720017920,285
d8:5e:d3:30:e0:ff,2026-05-16 15:52:04,11.3,6,12,10492.34375,9032.03125,208186.734375,16920530944,25665155072,8744624128,503519272960,999240708096,495721435136,284
d8:5e:d3:30:e0:ff,2026-05-16 15:52:16,14.3,6,12,10504.40625,9040.890625,208307.75,16775774208,25665155072,8889380864,503515279360,999240708096,495725428736,284
d8:5e:d3:30:e0:ff,2026-05-16 15:52:28,14.6,6,12,10514.90625,9049.84375,208430.046875,16737583104,25665155072,8927571968,503515676672,999240708096,495725031424,284
d8:5e:d3:30:e0:ff,2026-05-16 15:52:39,7.2,6,12,10526.09375,9057.1875,208553.453125,16622813184,25665155072,9042341888,503511793664,999240708096,495728914432,285
d8:5e:d3:30:e0:ff,2026-05-16 15:52:51,24.8,6,12,10535.484375,9065.65625,208677.5,16540413952,25665155072,9124741120,503512432640,999240708096,495728275456,285
d8:5e:d3:30:e0:ff,2026-05-16 15:53:03,5.1,6,12,10546.421875,9072.20312500003,208802.17187499997,16579321856,25665155072,9085833216,503512780800,999240708096,495727927296,283
d8:5e:d3:30:e0:ff,2026-05-16 15:53:15,7.1,6,12,10551.890625,9076.76562500003,208934.29687499997,16486694912,25665155072,9178460160,503512858624,999240708096,495727849472,283
d8:5e:d3:30:e0:ff,2026-05-16 15:58:12,6.3,6,12,10762.906249999998,9252.25,212117.71875,16742961152,25665155072,8922193920,503540961280,999240708096,495699746816,283
d8:5e:d3:30:e0:ff,2026-05-16 15:58:24,43.0,6,12,10781.984374999998,9262.56250000003,212230.68749999997,16889786368,25665155072,8775368704,503541264384,999240708096,495699443712,282
d8:5e:d3:30:e0:ff,2026-05-16 15:58:36,27.7,6,12,10799.937499999998,9273.93750000003,212343.10937499997,16480169984,25665155072,9184985088,503541899264,999240708096,495698808832,282
d8:5e:d3:30:e0:ff,2026-05-16 15:58:48,11.9,6,12,10821.999999999998,9286.81250000003,212450.62499999997,16691646464,25665155072,8973508608,503542157312,999240708096,495698550784,282
d8:5e:d3:30:e0:ff,2026-05-16 15:59:00,14.5,6,12,10834.312499999998,9295.57812500003,212571.15624999997,16551915520,25665155072,9113239552,503542476800,999240708096,495698231296,283
d8:5e:d3:30:e0:ff,2026-05-16 15:59:57,11.7,6,12,10904.265624999998,9342.70312499997,213135.4375,17154678784,25665155072,8510476288,503544741888,999240708096,495695966208,283
d8:5e:d3:30:e0:ff,2026-05-16 16:00:08,6.4,6,12,10910.656249999998,9347.421875,213266.28125,17118367744,25665155072,8546787328,503544180736,999240708096,495696527360,283
d8:5e:d3:30:e0:ff,2026-05-16 16:00:20,16.8,6,12,10926.859374999998,9358.828125,213380.609375,17418608640,25665155072,8246546432,503545327616,999240708096,495695380480,282
d8:5e:d3:30:e0:ff,2026-05-16 16:00:32,12.4,6,12,10943.687499999998,9367.68750000003,213497.01562499997,17632321536,25665155072,8032833536,503545860096,999240708096,495694848000,282
